probe,condition,protocol_id,seed,duration_s,current_uA,schedule,spatial_mode,initial_trials,initial_response_probability,trained_delta_norm,consolidation_s,consolidation_weight_change_norm,homeostasis_rate,homeostasis_interval_ms,weight_erasure_reset,weight_erasure_no_reset,weight_erasure_delta,path_erasure_reset,path_erasure_no_reset,path_erasure_delta,post_behavior_reset,post_behavior_no_reset,post_behavior_delta,post_delta_norm_reset,post_delta_norm_no_reset,post_delta_norm_delta,post_minus_trained_norm_reset,post_minus_trained_norm_no_reset,post_minus_trained_norm_delta,residual_trace_correlation_reset,residual_trace_correlation_no_reset,residual_trace_correlation_delta,reset_window_neuron_spikes_reset,reset_window_neuron_spikes_no_reset,reset_window_neuron_spikes_delta,post_readout_neuron_spikes_reset,post_readout_neuron_spikes_no_reset,post_readout_neuron_spikes_delta
consolidation_delay,rest_1s,low_burden_0.75s,1,0.75,0.8,epoch_pause,independent,16,0.875,43.086395953020315,1.0,20.901589400264506,0.012,100.0,-0.42992814816975167,-0.42992814816975167,0.0,-0.4300261461745689,-0.4300261461745689,0.0,0.5,0.5,0.0,61.61045037784094,61.61045037784094,0.0,18.524827274690498,18.524827274690498,0.0,0.9999809892199016,0.9999809892199016,0.0,864,864,0,1819,1819,0
consolidation_delay,rest_1s,mid_burden_1.5s,1,1.5,0.8,static,shared,16,0.875,43.086395953020315,1.0,20.901589400264506,0.012,100.0,-0.8399410597070147,-0.8399410597070147,0.0,-0.8399410594568464,-0.8399410594568464,0.0,0.25,0.25,0.0,79.27642903059616,79.27642903059616,0.0,36.190819987024774,36.190819987024774,0.0,0.9999706106451229,0.9999706106451229,0.0,1761,1761,0,1825,1825,0
consolidation_delay,rest_1s,high_burden_3s,1,3.0,2.6,static,shared,16,0.875,43.086395953020315,1.0,20.901589400264506,0.012,100.0,-1.8358262755907955,-1.8358262755907955,0.0,-1.8357566684797546,-1.8357566684797546,0.0,0.875,0.875,0.0,122.18553376691975,122.18553376691975,0.0,79.09992231342262,79.09992231342262,0.0,0.9999584506435386,0.9999584506435386,0.0,3586,3586,0,1794,1794,0
consolidation_delay,rest_1s,low_burden_0.75s,3,0.75,0.8,epoch_pause,independent,48,0.875,103.61103631315196,1.0,27.310247654368137,0.012,100.0,-0.23391017578967,-0.23391017578967,0.0,-0.2339268348015333,-0.2339268348015333,0.0,0.25,0.25,0.0,127.84671203214513,127.84671203214513,0.0,24.236272985663973,24.236272985663973,0.0,0.9999962363843695,0.9999962363843695,0.0,922,922,0,1799,1799,0
consolidation_delay,rest_1s,mid_burden_1.5s,3,1.5,0.8,static,shared,48,0.875,103.61103631315196,1.0,27.310247654368137,0.012,100.0,-0.4565141111190638,-0.4565141111190638,0.0,-0.45654445063218985,-0.45654445063218985,0.0,0.5,0.5,0.0,150.9109364592321,150.9109364592321,0.0,47.30050654441687,47.30050654441687,0.0,0.9999936821864216,0.9999936821864216,0.0,1825,1825,0,1805,1805,0
consolidation_delay,rest_1s,high_burden_3s,3,3.0,2.6,static,shared,48,0.875,103.61103631315196,1.0,27.310247654368137,0.012,100.0,-0.997700480183336,-0.997700480183336,0.0,-0.9977832941216704,-0.9977832941216704,0.0,0.5,0.5,0.0,206.98381699707443,206.98381699707443,0.0,103.37339045038976,103.37339045038976,0.0,0.9999898771770903,0.9999898771770903,0.0,3630,3630,0,1811,1811,0
consolidation_delay,rest_1s,low_burden_0.75s,4,0.75,0.8,epoch_pause,independent,48,0.875,104.29357194629374,1.0,27.535611431624467,0.012,100.0,-0.23379956855696848,-0.23379956855696848,0.0,-0.2337520224346028,-0.2337520224346028,0.0,0.625,0.625,0.0,128.67736407183617,128.67736407183617,0.0,24.384319042645185,24.384319042645185,0.0,0.999996633097401,0.999996633097401,0.0,838,838,0,1817,1817,0
consolidation_delay,rest_1s,mid_burden_1.5s,4,1.5,0.8,static,shared,48,0.875,104.29357194629374,1.0,27.535611431624467,0.012,100.0,-0.4564561531028135,-0.4564561531028135,0.0,-0.4563605405333466,-0.4563605405333466,0.0,0.625,0.625,0.0,151.89901459170696,151.89901459170696,0.0,47.606024853767366,47.606024853767366,0.0,0.9999938472803264,0.9999938472803264,0.0,1746,1746,0,1911,1911,0
consolidation_delay,rest_1s,high_burden_3s,4,3.0,2.6,static,shared,48,0.875,104.29357194629374,1.0,27.535611431624467,0.012,100.0,-0.9969542943436285,-0.9969542943436285,0.0,-0.9968643235619579,-0.9968643235619579,0.0,0.375,0.375,0.0,208.26949637258443,208.26949637258443,0.0,103.97654321936336,103.97654321936336,0.0,0.9999895830786197,0.9999895830786197,0.0,3657,3657,0,1807,1807,0
consolidation_delay,rest_10s,low_burden_0.75s,1,0.75,0.8,epoch_pause,independent,16,0.875,357.5851603873427,10.0,335.55311106454883,0.012,100.0,-0.06748413099750272,-0.06748413099750272,0.0,-0.07764468569776528,-0.07764468569776528,0.0,0.375,0.375,0.0,381.7164841947526,381.7164841947526,0.0,32.51621155077056,32.51621155077056,0.0,0.9934943520414045,0.9934943520414045,0.0,868,868,0,1754,1754,0
consolidation_delay,rest_10s,mid_burden_1.5s,1,1.5,0.8,static,shared,16,0.875,357.5851603873427,10.0,335.55311106454883,0.012,100.0,-0.1197692974962532,-0.1197692974962532,0.0,-0.138735724789099,-0.138735724789099,0.0,0.625,0.625,0.0,400.4128838431395,400.4128838431395,0.0,58.47439229500552,58.47439229500552,0.0,0.9789172780503252,0.9789172780503252,0.0,1751,1751,0,1781,1781,0
consolidation_delay,rest_10s,high_burden_3s,1,3.0,2.6,static,shared,16,0.875,357.5851603873427,10.0,335.55311106454883,0.012,100.0,-0.21375313997565804,-0.21375313997565804,0.0,-0.24858214502063092,-0.24858214502063092,0.0,0.625,0.625,0.0,434.0201112300502,434.0201112300502,0.0,106.74185081585824,106.74185081585824,0.0,0.9292861920620631,0.9292861920620631,0.0,3532,3532,0,1707,1707,0
consolidation_delay,rest_10s,low_burden_0.75s,3,0.75,0.8,epoch_pause,independent,48,0.875,419.5080350848691,10.0,345.9442963542901,0.012,100.0,-0.03879318354156802,-0.03879318354156802,0.0,-0.042181413403087564,-0.042181413403087564,0.0,0.875,0.875,0.0,435.7820872881178,435.7820872881178,0.0,27.49399182523145,27.49399182523145,0.0,0.9943269364509679,0.9943269364509679,0.0,937,937,0,1732,1732,0
consolidation_delay,rest_10s,mid_burden_1.5s,3,1.5,0.8,static,shared,48,0.875,419.5080350848691,10.0,345.9442963542901,0.012,100.0,-0.06881048492900343,-0.06881048492900343,0.0,-0.07461906263893914,-0.07461906263893914,0.0,0.625,0.625,0.0,448.3745864117411,448.3745864117411,0.0,49.200544751844355,49.200544751844355,0.0,0.9819267917814273,0.9819267917814273,0.0,1766,1766,0,1764,1764,0
consolidation_delay,rest_10s,high_burden_3s,3,3.0,2.6,static,shared,48,0.875,419.5080350848691,10.0,345.9442963542901,0.012,100.0,-0.12184866770812253,-0.12184866770812253,0.0,-0.1315811361784156,-0.1315811361784156,0.0,0.625,0.625,0.0,470.62453025393455,470.62453025393455,0.0,88.63860883382134,88.63860883382134,0.0,0.9418532299069879,0.9418532299069879,0.0,3530,3530,0,1793,1793,0
consolidation_delay,rest_10s,low_burden_0.75s,4,0.75,0.8,epoch_pause,independent,48,0.875,421.285220199701,10.0,347.28631048306806,0.012,100.0,-0.038765541340936904,-0.038765541340936904,0.0,-0.04423237439039562,-0.04423237439039562,0.0,0.625,0.625,0.0,437.6165698207169,437.6165698207169,0.0,27.62992052176059,27.62992052176059,0.0,0.9941484239468131,0.9941484239468131,0.0,851,851,0,1772,1772,0
consolidation_delay,rest_10s,mid_burden_1.5s,4,1.5,0.8,static,shared,48,0.875,421.285220199701,10.0,347.28631048306806,0.012,100.0,-0.06876963497670507,-0.06876963497670507,0.0,-0.0777685941608568,-0.0777685941608568,0.0,0.625,0.625,0.0,450.25685101498397,450.25685101498397,0.0,49.446879744187136,49.446879744187136,0.0,0.9813467573116856,0.9813467573116856,0.0,1724,1724,0,1801,1801,0
consolidation_delay,rest_10s,high_burden_3s,4,3.0,2.6,static,shared,48,0.875,421.285220199701,10.0,347.28631048306806,0.012,100.0,-0.12169802870667756,-0.12169802870667756,0.0,-0.1365916566092824,-0.1365916566092824,0.0,0.875,0.875,0.0,472.5548010223849,472.5548010223849,0.0,88.99314685451654,88.99314685451654,0.0,0.9400780484519181,0.9400780484519181,0.0,3525,3525,0,1758,1758,0
consolidation_delay,rest_30s,low_burden_0.75s,1,0.75,0.8,epoch_pause,independent,16,0.875,503.93405703930364,30.0,483.87559377920553,0.012,100.0,-1.8391838541020888e-07,-1.8391838541020888e-07,0.0,1.4282738325377409e-09,1.4282738325377409e-09,0.0,0.5,0.5,0.0,503.93414972304174,503.93414972304174,0.0,0.05422081711822533,0.05422081711822533,0.0,0.9999999718447855,0.9999999718447855,0.0,882,882,0,1804,1804,0
consolidation_delay,rest_30s,mid_burden_1.5s,1,1.5,0.8,static,shared,16,0.875,503.93405703930364,30.0,483.87559377920553,0.012,100.0,-2.1746565148639263e-07,-2.1746565148639263e-07,0.0,1.4282738325377409e-09,1.4282738325377409e-09,0.0,0.375,0.375,0.0,503.93416662865167,503.93416662865167,0.0,0.05425832610515283,0.05425832610515283,0.0,0.9999999718058451,0.9999999718058451,0.0,1761,1761,0,1788,1788,0
consolidation_delay,rest_30s,high_burden_3s,1,3.0,2.6,static,shared,16,0.875,503.93405703930364,30.0,483.87559377920553,0.012,100.0,-7.747558106174779e-08,-7.747558106174779e-08,0.0,1.4282738325377409e-09,1.4282738325377409e-09,0.0,0.5,0.5,0.0,503.93409608288755,503.93409608288755,0.0,0.05797112799345655,0.05797112799345655,0.0,0.9999999678152501,0.9999999678152501,0.0,3549,3549,0,1836,1836,0
consolidation_delay,rest_30s,low_burden_0.75s,3,0.75,0.8,epoch_pause,independent,48,0.875,501.63872899254136,30.0,433.53100696556317,0.012,100.0,2.8964112774865214e-08,2.8964112774865214e-08,0.0,1.4289247562970786e-09,1.4289247562970786e-09,0.0,0.625,0.625,0.0,501.6387144640206,501.6387144640206,0.0,0.04679550214636148,0.04679550214636148,0.0,0.9999999795630825,0.9999999795630825,0.0,885,885,0,1808,1808,0
consolidation_delay,rest_30s,mid_burden_1.5s,3,1.5,0.8,static,shared,48,0.875,501.63872899254136,30.0,433.53100696556317,0.012,100.0,4.6165671430120625e-07,4.6165671430120625e-07,0.0,1.4289247562970786e-09,1.4289247562970786e-09,0.0,0.625,0.625,0.0,501.63849740865396,501.63849740865396,0.0,0.05790768100466272,0.05790768100466272,0.0,0.9999999687051709,0.9999999687051709,0.0,1795,1795,0,1795,1795,0
consolidation_delay,rest_30s,high_burden_3s,3,3.0,2.6,static,shared,48,0.875,501.63872899254136,30.0,433.53100696556317,0.012,100.0,4.94962111519115e-07,4.94962111519115e-07,0.0,8.420036028633504e-06,8.420036028633504e-06,0.0,0.75,0.75,0.0,501.6384807013768,501.6384807013768,0.0,0.05866734641327463,0.05866734641327463,0.0,0.9999999678788023,0.9999999678788023,0.0,3590,3590,0,1798,1798,0
consolidation_delay,rest_30s,low_burden_0.75s,4,0.75,0.8,epoch_pause,independent,48,0.875,503.6624046360499,30.0,435.15951112703675,0.012,100.0,-7.611121910500174e-08,-7.611121910500174e-08,0.0,1.4229961653455803e-09,1.4229961653455803e-09,0.0,0.125,0.125,0.0,503.6624429714095,503.6624429714095,0.0,0.05469876532095744,0.05469876532095744,0.0,0.9999999714010165,0.9999999714010165,0.0,912,912,0,1685,1685,0
consolidation_delay,rest_30s,mid_burden_1.5s,4,1.5,0.8,static,shared,48,0.875,503.6624046360499,30.0,435.15951112703675,0.012,100.0,-1.7478204261678343e-07,-1.7478204261678343e-07,0.0,1.4229961653455803e-09,1.4229961653455803e-09,0.0,0.25,0.25,0.0,503.6624926681938,503.6624926681938,0.0,0.05239825624020194,0.05239825624020194,0.0,0.9999999737560918,0.9999999737560918,0.0,1736,1736,0,1769,1769,0
consolidation_delay,rest_30s,high_burden_3s,4,3.0,2.6,static,shared,48,0.875,503.6624046360499,30.0,435.15951112703675,0.012,100.0,4.721749499170258e-07,4.721749499170258e-07,0.0,1.4229961653455803e-09,1.4229961653455803e-09,0.0,0.5,0.5,0.0,503.66216682027925,503.66216682027925,0.0,0.0691579960201317,0.0691579960201317,0.0,0.9999999542831544,0.9999999542831544,0.0,3505,3505,0,1883,1883,0
