probe,condition,control_mode,protocol_id,seed,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,initial_trials,initial_response_probability,initial_reached_criterion,weight_erasure,path_erasure,residual_trace_correlation,post_behavior,trained_delta_norm,post_delta_norm,post_minus_trained_norm,baseline_weight_norm,reset_window_neuron_spikes,post_readout_neuron_spikes,homeostasis_rate,homeostasis_interval_ms,consolidation_s,consolidation_spikes,consolidation_weight_change_norm
training_depth,criterion_1.0_max240,reset,low_burden_0.75s,1,2.0,epoch_pause,independent,0.75,0.8,160,23,240,0.75,False,-0.013396659818631695,-0.013269578558966266,0.9972882162812036,0.625,488.12009972921766,494.65927865693993,17.611800663749012,197.84471483464534,881,1815,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,no_reset,low_burden_0.75s,1,2.0,epoch_pause,independent,0.75,0.8,160,0,240,0.75,False,-0.013396659818631695,-0.013269578558966266,0.9972882162812036,0.625,488.12009972921766,494.65927865693993,17.611800663749012,197.84471483464534,881,1815,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,reset,mid_burden_1.5s,1,0.0,static,shared,1.5,0.8,160,451,240,0.75,False,-0.022289483991439596,-0.02170084486261925,0.9921805938318757,0.5,488.12009972921766,499.0000448790542,29.947491776964707,197.84471483464534,1785,1791,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,no_reset,mid_burden_1.5s,1,0.0,static,shared,1.5,0.8,160,0,240,0.75,False,-0.022289483991439596,-0.02170084486261925,0.9921805938318757,0.5,488.12009972921766,499.0000448790542,29.947491776964707,197.84471483464534,1785,1791,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,reset,high_burden_3s,1,-2.0,static,shared,3.0,2.6,160,1563,240,0.75,False,-0.032081676623617605,-0.03036570594636001,0.9824259930508972,0.625,488.12009972921766,503.77981092325047,44.90883125922568,197.84471483464534,3576,1790,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,no_reset,high_burden_3s,1,-2.0,static,shared,3.0,2.6,160,0,240,0.75,False,-0.032081676623617605,-0.03036570594636001,0.9824259930508972,0.625,488.12009972921766,503.77981092325047,44.90883125922568,197.84471483464534,3576,1790,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,reset,low_burden_0.75s,3,2.0,epoch_pause,independent,0.75,0.8,160,13,128,1.0,True,-0.10776961791865713,-0.11585752772025204,0.9955790733790645,0.625,296.3440768403009,328.28096477494506,35.70978731510202,198.90535604574396,928,1704,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,no_reset,low_burden_0.75s,3,2.0,epoch_pause,independent,0.75,0.8,160,0,128,1.0,True,-0.10776961791865713,-0.11585752772025204,0.9955790733790645,0.625,296.3440768403009,328.28096477494506,35.70978731510202,198.90535604574396,928,1704,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,reset,mid_burden_1.5s,3,0.0,static,shared,1.5,0.8,160,514,128,1.0,True,-0.18979513133070247,-0.2073668892821947,0.9842550163886101,0.5,296.3440768403009,352.58873982447136,64.27611117558043,198.90535604574396,1819,1695,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,no_reset,mid_burden_1.5s,3,0.0,static,shared,1.5,0.8,160,0,128,1.0,True,-0.18979513133070247,-0.2073668892821947,0.9842550163886101,0.5,296.3440768403009,352.58873982447136,64.27611117558043,198.90535604574396,1819,1695,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,reset,high_burden_3s,3,-2.0,static,shared,3.0,2.6,160,1539,128,1.0,True,-0.3360645752227365,-0.3798944069044359,0.9404438832804625,0.75,296.3440768403009,395.93482314474664,117.90883726698418,198.90535604574396,3514,1794,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,no_reset,high_burden_3s,3,-2.0,static,shared,3.0,2.6,160,0,128,1.0,True,-0.3360645752227365,-0.3798944069044359,0.9404438832804625,0.75,296.3440768403009,395.93482314474664,117.90883726698418,198.90535604574396,3514,1794,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,reset,low_burden_0.75s,4,2.0,epoch_pause,independent,0.75,0.8,160,20,240,0.5,False,-0.013349191719287168,-0.013578851526500069,0.9973008943473382,0.75,487.9577562514308,494.4715978915577,17.583910375266303,197.98112228231966,876,1825,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,no_reset,low_burden_0.75s,4,2.0,epoch_pause,independent,0.75,0.8,160,0,240,0.5,False,-0.013349191719287168,-0.013578851526500069,0.9973008943473382,0.75,487.9577562514308,494.4715978915577,17.583910375266303,197.98112228231966,876,1825,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,reset,mid_burden_1.5s,4,0.0,static,shared,1.5,0.8,160,431,240,0.5,False,-0.022224954729895607,-0.022494643554944238,0.9922120323984088,0.625,487.9577562514308,498.80259529524244,29.911877458368707,197.98112228231966,1805,1826,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,no_reset,mid_burden_1.5s,4,0.0,static,shared,1.5,0.8,160,0,240,0.5,False,-0.022224954729895607,-0.022494643554944238,0.9922120323984088,0.625,487.9577562514308,498.80259529524244,29.911877458368707,197.98112228231966,1805,1826,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,reset,high_burden_3s,4,-2.0,static,shared,3.0,2.6,160,1439,240,0.5,False,-0.03188607320032322,-0.0318527336604113,0.9826247089975073,0.625,487.9577562514308,503.51681298696127,44.69186912754825,197.98112228231966,3631,1826,0.012,100.0,0.0,0,0.0
training_depth,criterion_1.0_max240,no_reset,high_burden_3s,4,-2.0,static,shared,3.0,2.6,160,0,240,0.5,False,-0.03188607320032322,-0.0318527336604113,0.9826247089975073,0.625,487.9577562514308,503.51681298696127,44.69186912754825,197.98112228231966,3631,1826,0.012,100.0,0.0,0,0.0
