task,seed,alpha_star_axis,random_ever_breaks
conditioned_electrode_association,1,0.7333,False
conditioned_electrode_association,2,0.7333,False
conditioned_electrode_association,3,0.7333,False
conditioned_electrode_association,4,0.8667,False
conditioned_electrode_association,5,0.6667,False
conditioned_electrode_association,6,0.8667,False
conditioned_electrode_association,7,0.8,False
conditioned_electrode_association,8,0.8667,False
conditioned_electrode_association,9,0.7333,False
conditioned_electrode_association,10,0.8,False
conditioned_electrode_association,11,0.8667,False
conditioned_electrode_association,12,0.9333,False
conditioned_electrode_association,13,0.8,False
conditioned_electrode_association,14,0.7333,False
conditioned_electrode_association,15,0.8667,False
conditioned_electrode_association,16,0.8667,False
conditioned_electrode_association,17,0.8667,False
conditioned_electrode_association,18,0.9333,False
conditioned_electrode_association,19,0.8,False
conditioned_electrode_association,20,0.8,False
conditioned_electrode_association,21,0.9333,False
conditioned_electrode_association,22,0.7333,False
conditioned_electrode_association,23,0.8667,False
conditioned_electrode_association,24,0.8,False
conditioned_electrode_association,25,0.7333,False
conditioned_electrode_association,26,0.8,False
conditioned_electrode_association,27,0.8667,False
conditioned_electrode_association,28,0.9333,False
conditioned_electrode_association,29,0.6667,False
conditioned_electrode_association,30,0.8,False
conditioned_electrode_association,31,0.8,False
conditioned_electrode_association,32,0.8,False
conditioned_electrode_association,33,0.8667,False
conditioned_electrode_association,34,0.8667,False
conditioned_electrode_association,35,0.8,False
conditioned_electrode_association,36,0.8667,False
conditioned_electrode_association,37,0.8667,False
conditioned_electrode_association,38,0.8,False
conditioned_electrode_association,39,0.8667,False
conditioned_electrode_association,40,0.8667,False
conditioned_electrode_association,41,0.8,False
conditioned_electrode_association,42,0.7333,False
conditioned_electrode_association,43,0.7333,False
conditioned_electrode_association,44,0.8,False
conditioned_electrode_association,45,0.8,False
conditioned_electrode_association,46,0.6667,False
conditioned_electrode_association,47,0.6667,False
conditioned_electrode_association,48,0.8,False
conditioned_electrode_association,49,0.8667,False
conditioned_electrode_association,50,0.8,False
multi_association_mapping,1,0.8,False
multi_association_mapping,2,0.8,False
multi_association_mapping,3,0.8,False
multi_association_mapping,4,0.8667,False
multi_association_mapping,5,0.7333,False
multi_association_mapping,6,0.8,False
multi_association_mapping,7,0.8,False
multi_association_mapping,8,0.8667,False
multi_association_mapping,9,0.7333,False
multi_association_mapping,10,0.8,False
multi_association_mapping,11,0.8667,False
multi_association_mapping,12,0.9333,False
multi_association_mapping,13,0.8,False
multi_association_mapping,14,0.8,False
multi_association_mapping,15,0.8667,False
multi_association_mapping,16,0.8667,False
multi_association_mapping,17,0.8,False
multi_association_mapping,18,0.9333,False
multi_association_mapping,19,0.8,False
multi_association_mapping,20,0.8,False
multi_association_mapping,21,0.8,False
multi_association_mapping,22,0.8667,False
multi_association_mapping,23,0.8667,False
multi_association_mapping,24,0.8,False
multi_association_mapping,25,0.8667,False
multi_association_mapping,26,0.8667,False
multi_association_mapping,27,0.8667,False
multi_association_mapping,28,0.8667,False
multi_association_mapping,29,0.7333,False
multi_association_mapping,30,0.8,False
multi_association_mapping,31,0.8,False
multi_association_mapping,32,0.8667,False
multi_association_mapping,33,0.8667,False
multi_association_mapping,34,0.8667,False
multi_association_mapping,35,0.8,False
multi_association_mapping,36,0.8,False
multi_association_mapping,37,0.8667,False
multi_association_mapping,38,0.8667,False
multi_association_mapping,39,0.8,False
multi_association_mapping,40,0.8,False
multi_association_mapping,41,0.8,False
multi_association_mapping,42,0.8,False
multi_association_mapping,43,0.7333,False
multi_association_mapping,44,0.8667,False
multi_association_mapping,45,0.8667,False
multi_association_mapping,46,0.8,False
multi_association_mapping,47,0.8,False
multi_association_mapping,48,0.8,False
multi_association_mapping,49,0.8667,False
multi_association_mapping,50,0.8,False
overlapping_shared_input_association,1,0.9333,False
overlapping_shared_input_association,2,0.8667,False
overlapping_shared_input_association,3,0.9333,False
overlapping_shared_input_association,4,0.9333,False
overlapping_shared_input_association,5,0.9333,False
overlapping_shared_input_association,6,0.9333,False
overlapping_shared_input_association,7,1.0,False
overlapping_shared_input_association,8,1.0,False
overlapping_shared_input_association,9,1.0,False
overlapping_shared_input_association,10,0.9333,False
overlapping_shared_input_association,11,1.0,False
overlapping_shared_input_association,12,,False
overlapping_shared_input_association,13,0.8667,False
overlapping_shared_input_association,14,1.0,False
overlapping_shared_input_association,15,0.9333,False
overlapping_shared_input_association,16,0.9333,False
overlapping_shared_input_association,17,1.0,False
overlapping_shared_input_association,18,0.9333,False
overlapping_shared_input_association,19,1.0,False
overlapping_shared_input_association,20,0.8667,False
overlapping_shared_input_association,21,1.0,False
overlapping_shared_input_association,22,0.8667,False
overlapping_shared_input_association,23,0.9333,False
overlapping_shared_input_association,24,0.8667,False
overlapping_shared_input_association,25,,False
overlapping_shared_input_association,26,1.0,False
overlapping_shared_input_association,27,1.0,False
overlapping_shared_input_association,28,0.9333,False
overlapping_shared_input_association,29,0.9333,False
overlapping_shared_input_association,30,0.8,False
overlapping_shared_input_association,31,0.9333,False
overlapping_shared_input_association,32,1.0,False
overlapping_shared_input_association,33,0.9333,False
overlapping_shared_input_association,34,1.0,False
overlapping_shared_input_association,35,,False
overlapping_shared_input_association,36,1.0,False
overlapping_shared_input_association,37,1.0,False
overlapping_shared_input_association,38,,False
overlapping_shared_input_association,39,0.8667,False
overlapping_shared_input_association,40,0.8667,False
overlapping_shared_input_association,41,1.0,False
overlapping_shared_input_association,42,0.9333,False
overlapping_shared_input_association,43,0.8667,False
overlapping_shared_input_association,44,,False
overlapping_shared_input_association,45,,False
overlapping_shared_input_association,46,,False
overlapping_shared_input_association,47,0.8667,False
overlapping_shared_input_association,48,0.8667,False
overlapping_shared_input_association,49,1.0,False
overlapping_shared_input_association,50,,False
overlapping_shared_target_association,1,0.7333,False
overlapping_shared_target_association,2,0.8,False
overlapping_shared_target_association,3,1.0,False
overlapping_shared_target_association,4,0.8667,False
overlapping_shared_target_association,5,0.7333,False
overlapping_shared_target_association,6,0.8667,False
overlapping_shared_target_association,7,0.8,False
overlapping_shared_target_association,8,0.9333,False
overlapping_shared_target_association,9,0.7333,False
overlapping_shared_target_association,10,0.8667,False
overlapping_shared_target_association,11,0.8667,False
overlapping_shared_target_association,12,0.7333,False
overlapping_shared_target_association,13,0.8,False
overlapping_shared_target_association,14,0.7333,False
overlapping_shared_target_association,15,0.7333,False
overlapping_shared_target_association,16,0.8667,False
overlapping_shared_target_association,17,0.8667,False
overlapping_shared_target_association,18,0.9333,False
overlapping_shared_target_association,19,0.8667,False
overlapping_shared_target_association,20,0.7333,False
overlapping_shared_target_association,21,0.9333,False
overlapping_shared_target_association,22,0.7333,False
overlapping_shared_target_association,23,0.8667,False
overlapping_shared_target_association,24,0.8,False
overlapping_shared_target_association,25,0.7333,False
overlapping_shared_target_association,26,0.8,False
overlapping_shared_target_association,27,0.8667,False
overlapping_shared_target_association,28,0.9333,False
overlapping_shared_target_association,29,0.7333,False
overlapping_shared_target_association,30,0.8,False
overlapping_shared_target_association,31,0.8,False
overlapping_shared_target_association,32,0.8,False
overlapping_shared_target_association,33,0.8,False
overlapping_shared_target_association,34,0.8,False
overlapping_shared_target_association,35,0.8,False
overlapping_shared_target_association,36,0.8667,False
overlapping_shared_target_association,37,0.8667,False
overlapping_shared_target_association,38,0.7333,False
overlapping_shared_target_association,39,0.8667,False
overlapping_shared_target_association,40,0.8667,False
overlapping_shared_target_association,41,0.7333,False
overlapping_shared_target_association,42,0.8,False
overlapping_shared_target_association,43,0.8,False
overlapping_shared_target_association,44,0.7333,False
overlapping_shared_target_association,45,0.8667,False
overlapping_shared_target_association,46,0.8667,False
overlapping_shared_target_association,47,0.6667,False
overlapping_shared_target_association,48,0.8,False
overlapping_shared_target_association,49,0.8,False
overlapping_shared_target_association,50,0.8,False
pattern_discrimination,1,0.8,False
pattern_discrimination,2,0.7333,False
pattern_discrimination,3,0.7333,False
pattern_discrimination,4,0.8667,False
pattern_discrimination,5,0.7333,False
pattern_discrimination,6,0.8667,False
pattern_discrimination,7,0.8,False
pattern_discrimination,8,0.8,False
pattern_discrimination,9,0.8,False
pattern_discrimination,10,0.8,False
pattern_discrimination,11,0.8667,False
pattern_discrimination,12,0.9333,False
pattern_discrimination,13,0.8,False
pattern_discrimination,14,0.8667,False
pattern_discrimination,15,0.9333,False
pattern_discrimination,16,0.8667,False
pattern_discrimination,17,0.8667,False
pattern_discrimination,18,0.9333,False
pattern_discrimination,19,0.8,False
pattern_discrimination,20,0.8,False
pattern_discrimination,21,0.9333,False
pattern_discrimination,22,0.7333,False
pattern_discrimination,23,0.8667,False
pattern_discrimination,24,0.8,False
pattern_discrimination,25,0.8667,False
pattern_discrimination,26,0.8,False
pattern_discrimination,27,0.8667,False
pattern_discrimination,28,0.9333,False
pattern_discrimination,29,0.7333,False
pattern_discrimination,30,0.8667,False
pattern_discrimination,31,0.8,False
pattern_discrimination,32,0.8667,False
pattern_discrimination,33,0.8,False
pattern_discrimination,34,0.9333,False
pattern_discrimination,35,0.8,False
pattern_discrimination,36,0.8667,False
pattern_discrimination,37,0.8667,False
pattern_discrimination,38,0.9333,False
pattern_discrimination,39,0.6667,False
pattern_discrimination,40,0.8667,False
pattern_discrimination,41,0.8,False
pattern_discrimination,42,0.8,False
pattern_discrimination,43,0.7333,False
pattern_discrimination,44,0.8667,False
pattern_discrimination,45,0.8,False
pattern_discrimination,46,0.6667,False
pattern_discrimination,47,0.9333,False
pattern_discrimination,48,0.8,False
pattern_discrimination,49,0.8667,False
pattern_discrimination,50,0.8667,False
xor_electrode_classification,1,0.7333,False
xor_electrode_classification,2,0.8,False
xor_electrode_classification,3,1.0,False
xor_electrode_classification,4,0.8667,False
xor_electrode_classification,5,0.7333,False
xor_electrode_classification,6,0.8667,False
xor_electrode_classification,7,0.8,False
xor_electrode_classification,8,0.9333,False
xor_electrode_classification,9,0.8,False
xor_electrode_classification,10,0.8667,False
xor_electrode_classification,11,0.8667,False
xor_electrode_classification,12,0.9333,False
xor_electrode_classification,13,0.8,False
xor_electrode_classification,14,0.7333,False
xor_electrode_classification,15,0.8667,False
xor_electrode_classification,16,0.8667,False
xor_electrode_classification,17,0.8667,False
xor_electrode_classification,18,0.9333,False
xor_electrode_classification,19,0.8667,False
xor_electrode_classification,20,0.8,False
xor_electrode_classification,21,0.9333,False
xor_electrode_classification,22,0.8,False
xor_electrode_classification,23,0.9333,False
xor_electrode_classification,24,0.8667,False
xor_electrode_classification,25,0.8667,False
xor_electrode_classification,26,0.9333,False
xor_electrode_classification,27,0.8667,False
xor_electrode_classification,28,0.8,False
xor_electrode_classification,29,0.7333,False
xor_electrode_classification,30,0.8,False
xor_electrode_classification,31,0.8,False
xor_electrode_classification,32,0.8667,False
xor_electrode_classification,33,0.8667,False
xor_electrode_classification,34,0.8667,False
xor_electrode_classification,35,1.0,False
xor_electrode_classification,36,0.8667,False
xor_electrode_classification,37,0.8667,False
xor_electrode_classification,38,0.8,False
xor_electrode_classification,39,0.8667,False
xor_electrode_classification,40,0.8667,False
xor_electrode_classification,41,0.8,False
xor_electrode_classification,42,0.7333,False
xor_electrode_classification,43,0.8667,False
xor_electrode_classification,44,0.8,False
xor_electrode_classification,45,0.8667,False
xor_electrode_classification,46,0.8667,False
xor_electrode_classification,47,0.7333,False
xor_electrode_classification,48,0.8667,False
xor_electrode_classification,49,0.8667,False
xor_electrode_classification,50,0.8667,False
